h1_cplx_snr_amp	h1_cplx_snr_arg	h1_optimal_snr	l1_cplx_snr_amp	l1_cplx_snr_arg	l1_optimal_snr	lal_approximant	using_fast_sgf	amp_beta1	amp_beta2	amp_beta3	dec	deltalogl	deltaloglh1	deltalogll1	logl	logprior	loghrss	logw	matched_filter_snr	mtotal	mtotal_ref	optimal_snr	phi_orb	phase_beta1	phase_beta2	phase_beta3	alpha	psi	ra	signalmodelflag	theta_jn	time	
3.39097343412922e+01	-7.31753150218600e-03	3.15851758832011e+01	3.90912943713593e+01	-1.26395013246920e-02	3.82392339473998e+01	0.00000000000000e+00	0.00000000000000e+00	-2.09522035532656e-01	-7.94172970139909e+01	2.66492202792313e+02	7.89256811105020e-02	1.33578682228916e+03	5.72204580435047e+02	7.63582241854114e+02	-2.30404474484898e+03	1.54226494699239e+02	-5.10765375232778e+01	-4.79285414688942e+01	5.17313149604179e+01	3.05032659309655e+02	1.00000000000000e+02	4.95969993896478e+01	5.55191828932587e+00	3.35738213239083e+01	-1.11862036696076e+02	4.78376137489297e+02	2.77978696747660e+00	4.43114383916764e-01	3.41921511578184e+00	1.00000000000000e+00	5.07933976775706e-01	1.12662118408163e+09	
3.41785022186434e+01	1.18726804190301e-01	3.35151840976623e+01	3.90601769424817e+01	-5.52171040135040e-02	3.97005651839184e+01	0.00000000000000e+00	0.00000000000000e+00	-8.79871400662270e-01	-9.28570279140200e+01	3.02943725460948e+02	5.15682681028430e-02	1.33608124402651e+03	5.75800984302476e+02	7.60280259724033e+02	-2.30375032311164e+03	1.54029067200501e+02	-5.10101324777914e+01	-4.83193225449956e+01	5.16936283148915e+01	3.22313724159639e+02	1.00000000000000e+02	5.19557738949460e+01	5.13813473855837e-01	-4.55093453085670e+01	6.81965044864336e+01	4.55245838262387e+02	5.95656757943200e+00	2.58520893457765e+00	3.41906844591855e+00	1.00000000000000e+00	7.15736300228694e-01	1.12662118408073e+09	
3.40145568864766e+01	7.50975829769540e-02	3.45850069572573e+01	3.90680955925197e+01	-4.96746136859820e-02	3.96324332169683e+01	0.00000000000000e+00	0.00000000000000e+00	-3.53999922883214e-01	-1.14481344366327e+02	3.48105720596268e+02	5.06525786352700e-02	1.33610552477716e+03	5.75016669609621e+02	7.61088855167541e+02	-2.30372604236098e+03	1.54502239236088e+02	-5.11678408756287e+01	-4.96005666429202e+01	5.17012607439678e+01	3.17045002373295e+02	1.00000000000000e+02	5.26008789748896e+01	2.60725890951583e+00	1.70317277374099e+00	1.47111137860138e+01	4.76184716309598e+02	2.78497498539264e+00	4.77021482605660e-02	3.43352276583023e+00	1.00000000000000e+00	6.96005915896654e-01	1.12662118408101e+09	
3.40918908709310e+01	-1.08407925932390e-02	3.44815072976035e+01	3.89915607537914e+01	-7.87410964831280e-02	3.95115381025917e+01	0.00000000000000e+00	0.00000000000000e+00	-1.68246323971984e-01	-8.69306595552934e+01	2.92351925041450e+02	5.80658549670330e-02	1.33624568464816e+03	5.80983535420192e+02	7.55262149227970e+02	-2.30358588248998e+03	1.54155426605397e+02	-5.10523711251125e+01	-4.58744659178465e+01	5.17014448989957e+01	3.08763072569987e+02	1.00000000000000e+02	5.24417389943091e+01	2.43415045472338e+00	-4.43505283511019e+01	5.10871894636553e+01	4.53776584331528e+02	2.30575604742960e+00	1.37738957240231e+00	3.43717879355778e+00	1.00000000000000e+00	5.98316025551922e-01	1.12662118408126e+09	
3.42668717698590e+01	6.84501242882170e-02	3.14488531344758e+01	3.88844966952854e+01	1.17038169551310e-02	3.84295221985234e+01	0.00000000000000e+00	0.00000000000000e+00	-7.18140777459526e-01	-1.52572155270665e+02	4.44926663639185e+02	7.61245681241930e-02	1.33641118833178e+03	5.80614991409392e+02	7.55796196922387e+02	-2.30342037880637e+03	1.56167850167301e+02	-5.17235834816742e+01	-4.95003852891092e+01	5.17413286089093e+01	3.43058208691009e+02	1.00000000000000e+02	4.96574117315898e+01	2.84524058156813e+00	7.87141605742578e+00	2.20041752516465e+02	4.65735270296280e+02	4.92484474243017e+00	3.05722420214225e+00	3.41453868462880e+00	1.00000000000000e+00	3.07666407820486e-01	1.12662118408128e+09	
3.40471993995106e+01	1.13422971594449e-01	3.39174421148279e+01	3.91360101696495e+01	4.21503959600570e-02	3.97496392616936e+01	0.00000000000000e+00	0.00000000000000e+00	6.80295927721964e-01	-1.39422852343702e+02	4.27866337119517e+02	6.26746912314960e-02	1.33642101537499e+03	5.72177355626515e+02	7.64243659748479e+02	-2.30341055176315e+03	1.55291738346047e+02	-5.14312345638992e+01	-4.98767383127280e+01	5.17024723371344e+01	3.23734903621360e+02	1.00000000000000e+02	5.22534850612614e+01	3.35646333440221e+00	1.80773143013622e+01	1.09586961180578e+02	4.77207764921706e+02	3.23697035060828e+00	1.93655031138214e+00	3.42855733847048e+00	1.00000000000000e+00	6.55129214264132e-01	1.12662118408146e+09	
3.42228047860869e+01	1.10765650832917e-01	3.18984705871789e+01	3.90275079616807e+01	-5.73360546029500e-03	3.77215957058738e+01	0.00000000000000e+00	0.00000000000000e+00	-8.09714930609117e-01	-9.93819373517616e+01	3.22672088866651e+02	5.77076248171760e-02	1.33690527574840e+03	5.76208988633605e+02	7.60696287114790e+02	-2.30292629138975e+03	1.54643018613109e+02	-5.12148948743603e+01	-4.93661983804873e+01	5.17628253654828e+01	3.17026124306240e+02	1.00000000000000e+02	4.94007207275209e+01	3.94646268530560e+00	-4.04942096524016e+01	2.79320854326846e+01	4.61742228266672e+02	5.74876435849703e+00	2.27822748416850e+00	3.42278268384350e+00	1.00000000000000e+00	5.91145688556418e-01	1.12662118408105e+09	
3.42710491605854e+01	1.15336041225813e-01	3.22392672598860e+01	3.89796827921058e+01	-2.09626021817320e-02	3.81792404822819e+01	0.00000000000000e+00	0.00000000000000e+00	2.79078174212422e-01	-8.67619777698374e+01	3.01300838214108e+02	5.58783847782720e-02	1.33690825281879e+03	5.77847743106899e+02	7.59060509711894e+02	-2.30292331431935e+03	1.54086615064748e+02	-5.10293923582712e+01	-4.59603270936408e+01	5.17392091356836e+01	3.20990479501991e+02	1.00000000000000e+02	4.99702387152420e+01	4.16093814422716e+00	-2.77857072578289e+01	-1.28282886115204e+00	4.81307118941296e+02	6.23227271983713e+00	1.91158703592934e+00	3.42082321032637e+00	1.00000000000000e+00	7.38361820472937e-01	1.12662118408118e+09	
3.41491819557633e+01	6.21569205047680e-02	3.46718706673236e+01	3.88913978563503e+01	3.45647922704300e-03	3.87510176603772e+01	0.00000000000000e+00	0.00000000000000e+00	-9.70825109875300e-03	-1.02675419940065e+02	3.14155352170787e+02	5.48112493538560e-02	1.33691179350628e+03	5.80660235923745e+02	7.56251557582535e+02	-2.30291977363186e+03	1.54701293244091e+02	-5.12342653777866e+01	-4.86873035975820e+01	5.17098304205824e+01	3.27234315137435e+02	1.00000000000000e+02	5.19978844308735e+01	5.10390090533708e+00	-1.55928226228879e+01	2.35451213809021e+02	4.42163008403730e+02	1.71568998143936e-01	2.96989288346187e+00	3.44767903584505e+00	1.00000000000000e+00	4.80055438049362e-01	1.12662118408087e+09	
3.43216900402514e+01	7.27075050470900e-03	3.37457647792292e+01	3.86985878680934e+01	-1.87511178496750e-02	3.94380493414077e+01	0.00000000000000e+00	0.00000000000000e+00	6.22847034112077e-01	-1.57772647493840e+02	4.71109628892435e+02	6.86158573993500e-02	1.33704139399306e+03	5.88792745048515e+02	7.48248648944542e+02	-2.30279017314509e+03	1.56007133937360e+02	-5.16698299516128e+01	-5.02900797939113e+01	5.17118951964249e+01	3.14041279109915e+02	1.00000000000000e+02	5.19050708157727e+01	3.94605427506471e+00	2.88277668079232e+01	-2.48735945264807e+01	4.74978079619913e+02	3.75215508978072e+00	3.21178226897034e-01	3.43255654726295e+00	1.00000000000000e+00	4.03238641915053e-01	1.12662118408155e+09	
