h1_cplx_snr_amp	h1_cplx_snr_arg	h1_optimal_snr	l1_cplx_snr_amp	l1_cplx_snr_arg	l1_optimal_snr	lal_approximant	using_fast_sgf	amp_beta1	amp_beta2	amp_beta3	dec	deltalogl	deltaloglh1	deltalogll1	logl	logprior	loghrss	logw	matched_filter_snr	mtotal	mtotal_ref	optimal_snr	phi_orb	phase_beta1	phase_beta2	phase_beta3	alpha	psi	ra	signalmodelflag	theta_jn	time	
3.11174076269877e+01	-8.18787429358240e-02	3.22391054957497e+01	3.55362978142822e+01	5.53142297086370e-02	3.58185464393712e+01	0.00000000000000e+00	0.00000000000000e+00	7.20701563663146e-01	2.85723187686971e+02	4.91436833271741e+02	1.74567353506362e-01	1.10958415758249e+03	4.80156521828266e+02	6.29427635754225e+02	-2.03470428625642e+03	1.57598136326539e+02	-5.22044837430850e+01	-3.99189220473496e+01	4.71202072200674e+01	4.94016991827915e+02	1.00000000000000e+02	4.81905404845751e+01	3.29134444252754e+00	2.81304238362967e+01	2.41424360962604e+02	-7.92865463633449e+01	3.00797492270248e-01	2.79463656585182e+00	3.51241181451039e+00	1.00000000000000e+00	1.79722313948535e-01	1.12662118408316e+09	
3.10718184115610e+01	-4.16321697881850e-02	3.06602493634339e+01	3.56149191768804e+01	-5.27748234171940e-02	3.25131778268780e+01	0.00000000000000e+00	0.00000000000000e+00	5.84605761151711e-01	1.87845485024513e+02	3.76966871819893e+02	1.17228352592544e-01	1.10960742487914e+03	4.81818772945541e+02	6.27788651933602e+02	-2.03468101895977e+03	1.56352953298309e+02	-5.17866134458485e+01	-3.86470796942389e+01	4.71740108369070e+01	4.75070681258702e+02	1.00000000000000e+02	4.46895695149343e+01	5.77090445166026e+00	-7.18974115486724e+00	4.67835020747715e+02	-1.61910310248069e+02	2.25631262200452e+00	4.41315330608750e-02	3.52093295214837e+00	1.00000000000000e+00	4.62054751622066e-01	1.12662118408337e+09	
3.11494037116389e+01	-1.03650207549159e-01	3.29349146253497e+01	3.55758791450306e+01	3.82520514850800e-02	3.47370261699407e+01	0.00000000000000e+00	0.00000000000000e+00	-4.61895763651158e-01	2.44236810327444e+02	3.58071526887679e+02	1.52759385287212e-01	1.10960849602891e+03	4.78042757948904e+02	6.31565738080008e+02	-2.03467994781000e+03	1.56257896142963e+02	-5.17565365069266e+01	-3.96051152969073e+01	4.71145942639285e+01	4.61828756833951e+02	1.00000000000000e+02	4.78682524071040e+01	3.70056910349893e+00	2.25203117906193e+01	4.08507400231218e+02	-1.65406767044399e+02	2.87590086054266e+00	2.99120783597579e+00	3.54654466963781e+00	1.00000000000000e+00	6.00229771486857e-01	1.12662118408378e+09	
3.11113331090636e+01	-6.53499077512890e-02	2.79843952389104e+01	3.56489999992684e+01	-6.81005957663720e-02	3.53690323272329e+01	0.00000000000000e+00	0.00000000000000e+00	-2.45306927858265e-01	2.11417926272363e+02	4.18895083069327e+02	1.72881729201034e-01	1.10967402551392e+03	4.77210250488691e+02	6.32463775025233e+02	-2.03461441832498e+03	1.56650988626750e+02	-5.18886692377158e+01	-3.99484620617157e+01	4.71547027432538e+01	4.78987548194501e+02	1.00000000000000e+02	4.51009403965415e+01	2.95306275217866e+00	1.68559238290391e+01	3.43778386500088e+02	-1.23554620081035e+02	3.60713988591379e+00	1.17397152684998e+00	3.42142730960656e+00	1.00000000000000e+00	4.84765860100419e-01	1.12662118408552e+09	
3.11331344877563e+01	1.85305332661800e-02	3.34004213410929e+01	3.54616543989389e+01	-1.44320951727490e-02	3.41752492616291e+01	0.00000000000000e+00	0.00000000000000e+00	7.96160346102418e-01	1.61699527583877e+02	4.76424760333940e+02	1.02997440439896e-01	1.10969804571531e+03	4.81887207911916e+02	6.27810837803398e+02	-2.03459039812360e+03	1.56772648791234e+02	-5.19259874775091e+01	-3.89499928656666e+01	4.71152467769485e+01	4.70824779333655e+02	1.00000000000000e+02	4.77863558754695e+01	4.95802159850399e+00	-3.47985106374849e+00	1.10558555157475e+02	-4.09562464847974e+01	1.92337506421101e-01	8.56275377774427e-01	3.52779778184473e+00	1.00000000000000e+00	8.88855245896000e-02	1.12662118408122e+09	
3.11226946415377e+01	-1.99615173352370e-02	3.49851010793957e+01	3.56005662013631e+01	-2.73717718608800e-03	3.65783982651476e+01	0.00000000000000e+00	0.00000000000000e+00	-4.43743022338403e-01	2.20964445540750e+02	4.72884443614122e+02	1.19517060598572e-01	1.10985224840885e+03	4.76635047424926e+02	6.33217200983923e+02	-2.03443619543006e+03	1.55735639656895e+02	-5.15809329631118e+01	-3.99338360690874e+01	4.72348771603286e+01	4.73345874365766e+02	1.00000000000000e+02	5.06155758356979e+01	4.12023654690590e-01	1.16230954819435e+01	2.80216286681352e+02	-1.02129725587489e+02	2.47600397414685e+00	1.31852883061716e+00	3.52927507291679e+00	1.00000000000000e+00	8.80968726133960e-01	1.12662118408504e+09	
3.11666690393490e+01	-6.16737609533600e-02	3.08238705352443e+01	3.56192715844000e+01	1.01349392254239e-01	3.72461603915496e+01	0.00000000000000e+00	0.00000000000000e+00	-3.76708984613705e-01	2.63720857933647e+02	3.97050350623530e+02	2.08191741435541e-01	1.11003047768824e+03	4.83795411560615e+02	6.26235066127623e+02	-2.03425796615067e+03	1.57129990761264e+02	-5.20506070175493e+01	-3.92849602397169e+01	4.71331441042094e+01	4.73321259470726e+02	1.00000000000000e+02	4.83465351259689e+01	1.60882848939304e+00	-1.09786020469625e+01	3.68884054402667e+02	-1.38467169728317e+02	4.37006242574935e+00	8.54251140655473e-01	3.45612067976616e+00	1.00000000000000e+00	4.99884745243520e-02	1.12662118408584e+09	
3.10460712400805e+01	-4.33497767726230e-02	3.04049681367863e+01	3.54794446669209e+01	1.54849075479380e-02	3.54393111786076e+01	0.00000000000000e+00	0.00000000000000e+00	-7.48349673157316e-01	2.01973440937796e+02	4.05118888869352e+02	1.69163509747625e-01	1.11008090796893e+03	4.80836960592662e+02	6.29243947376271e+02	-2.03420753586998e+03	1.55282913651497e+02	-5.14324301881149e+01	-3.96691278817656e+01	4.71205159892490e+01	4.62906217770502e+02	1.00000000000000e+02	4.66948269534557e+01	1.97690829871942e-01	-6.87513399547692e+00	-9.15485401088225e+01	1.61466012225649e+01	2.43464952359464e+00	2.51381968809988e+00	3.46925210268547e+00	1.00000000000000e+00	1.00782358678998e+00	1.12662118408719e+09	
3.11101343476742e+01	-5.55987140268620e-02	2.84702551979316e+01	3.56486887241275e+01	7.16338162190070e-02	3.70512459632931e+01	0.00000000000000e+00	0.00000000000000e+00	-8.11143835311002e-01	2.37959411832653e+02	4.80196603808408e+02	2.14842339845632e-01	1.11011065265569e+03	4.79067134954512e+02	6.31043517701179e+02	-2.03417779118322e+03	1.56326144029907e+02	-5.17831341341988e+01	-3.90198124536364e+01	4.71208761492975e+01	4.80673203097321e+02	1.00000000000000e+02	4.67263336724357e+01	1.18436585194100e+00	-4.13749917203006e+01	4.50395535694785e+02	-1.52682314967492e+02	2.67456755202203e+00	2.01085667328851e+00	3.40348604168626e+00	1.00000000000000e+00	8.30460355704024e-01	1.12662118408611e+09	
3.11999617224455e+01	4.97599098587550e-02	2.94326221701221e+01	3.55898112969671e+01	9.12459901490990e-02	3.34598238556777e+01	0.00000000000000e+00	0.00000000000000e+00	3.88370866585715e-01	2.22936183049803e+02	4.00029383738521e+02	1.55414898782645e-01	1.11011545191389e+03	4.84020422130455e+02	6.26095029783437e+02	-2.03417299192502e+03	1.57007951375299e+02	-5.20066924010910e+01	-3.86182312533227e+01	4.71926616893603e+01	4.56298615640745e+02	1.00000000000000e+02	4.45627541817395e+01	2.08994600994616e+00	6.98260501304810e-01	3.00830752653315e+02	-1.25316316718016e+02	3.52682677323596e-01	2.38149771258270e-01	3.48700165242506e+00	1.00000000000000e+00	1.20096987062700e-02	1.12662118408527e+09	
